"['cute little kid', 'special ed. tutor', 'homicidal maniac', 'Canadian thriller', 'Adam', 'autistic child', 'little Adam', 'Detective Atwater', 'old man', 'real mother', 'real son', 'Linda', 'Connie']","""Evil Children"""," ""Switched at Birth""",,,,,,
"['self-centered Prince Andrei', 'visually striking fantasy', 'well-known Russian fairy', 'ill-mannered enchanted creature', 'Tsar Yeremey', 'lovely daughter Barbara', 'sullen young man', 'boy Andrei', 'Andrei Katyshev', 'mistaken identities', 'poor fisherman', 'Georgi Millyar', 'Mikhail Pugovkin', 'Chudo-Yudo', 'secret arrangement', 'newborn son', 'Sergei Nikolayev', 'Tatyana Klyuyeva', 'true parentage', 'little attention', 'underwater lair', 'suitable fianc\xc3\xa9', 'true son']","""Switched at Birth"""," ""Crowned Heads"""," ""Fathers and Sons"""," ""Mistaken Identities""",,,,
"['motion picture projectionist', 'story concerns Ivan', 'KGB chief Beria', 'Jewish neighbors', 'personal projectionist', 'official motion picture', 'KGB bursts', 'Stalin', 'wife Anastasia', 'KGB agents', 'self-deluded mind-set', 'bureaucratic flunky', 'Andrei Konchalovsky', 'loud banging', 'Lolita Davidovich', 'tiny apartment', 'Soviet leader', 'amorous eye', 'Tom Hulce', 'Jewish family', 'Soviet leaders', 'political repercussions', 'state orphanage', 'political worries', 'high security', 'totalitarianism', 'job', 'night', 'height']","""Heads of State"""," ""Behind the Iron Curtain"""," ""Social Injustice""",,,,,
"['pickpocket Skip McCoy', 'languid courtroom romance', 'U.S. government secrets', 'arrogant McCoy', 'cocksure pickpocket', 'pugnacious potboiler', 'Samuel Fuller']","""Conspiracies"""," ""Dishonor Among Thieves"""," ""Redemption"""," ""Unlikely Heroes""",,,,
"['Innocent Bystanders stars', 'spies Geraldine Chaplin', 'British secret service', 'James Bond films', 'Russian scientist', 'Dana Andrews', 'Iron Curtain', 'Baker', 'Good Guys']","""Behind the Iron Curtain""",,,,,,,
"['Tom Skerritt', 'ex-lover Helen Mirren', 'Max Von Sydow', 'end-of-tether CIA agent', 'White Knight', 'Red King', 'HBO Cable Service', 'opposite number', 'Russian president', 'Soviet leader', 'private life', 'American agent']","""Assassination Plots"""," ""Behind the Iron Curtain""",,,,,,
"['politician Joe Welch', 'important political commentators', 'agent David Hoyle', 'sardonic comedies', 'Joan Fraser', 'Billy Wilder', 'cinematic roots', 'Richard Roxburgh', 'ardent communist', 'time periods', 'shadowy influence', 'Australian film', 'brief fling', 'Sam Neill']","""Mothers and Sons"""," ""Behind the Iron Curtain""",,,,,,
"['Producer/director/star Clint Eastwood', 'supersonic fighting plane', 'impersonal MIG pilots', 'Mitchell Gant', 'past-his-prime U.S. pilot', 'protracted chase', 'KGB men', 'sweet time', 'Soviet Union', 'Craig Thomas']","""Behind the Iron Curtain"""," ""Heroic Mission"""," ""Lone Wolves""",,,,,
"['real-life Victor Herman', 'stars John Savage', 'world parachute jump', 'Ford Motor Company', 'Ukrainian immigrants', 'Josef Stalin', 'American athlete', 'Soviet Union', 'American citizenship', 'United States']","""Behind the Iron Curtain"""," ""Totalitarian States"""," ""Americans Abroad"""," ""Miscarriage of Justice""",,,,
"['Brigitte Fossey co-stars', 'Alex Holbeck', 'musical-comedy foreign accent', 'Iron Curtain defector', 'TV-anthology veteran Jeannot', 'KGB agent Dimitri', 'formidable opposition', 'Martin Sheen', 'Soviet assassins', 'Sam Neill', 'susceptible Vasilkov']","""Behind the Iron Curtain""",,,,,,,
"['Prof. Michael Armstrong', 'rare Hitchcock films', 'gifted American physicist', 'scientist Sarah Sherman', 'secret undercover agent', 'East Germany', 'Alfred Hitchcock', 'Bernard Herrman', 'political fence', 'double agent', 'Torn Curtain', 'Paul Newman', 'scientific factions', 'Julie Andrews', 'Cold War', 'Wolfgang Kieling']","""Behind the Iron Curtain"""," ""Totalitarian States"""," ""Traitorous Spies/Double Agents""",,,,,
