"[""blackmail"", ""Communism"", ""espionage"", ""political-intrigue"", ""revenge"", ""terrorism"", ""investigator"", ""killing"", ""murder"", ""theater-troupe"", ""on-tour""]","[""Spy"", ""Film""]","[""Out For Revenge"", ""Behind the Iron Curtain"", ""Assassination Plots"", ""Political Corruption"", ""Terrorism"", ""Traitorous Spies/Double Agents""]"
"[""ballet-dance"", ""dance [art]"", ""defector"", ""husband-and-wife"", ""KGB"", ""Russia"", ""Russian [nationality]"", ""tap-dance"", ""veteran [military]""]","[""Drama"", ""Thriller""]","[""Behind the Iron Curtain"", ""Dancer's Life""]"
"[""Cold-War"", ""editor"", ""espionage"", ""nuclear-weapon"", ""publishing-house"", ""Russia"", ""Russian [nationality]"", ""Secret-Service"", ""alcoholism""]","[""Drama"", ""Spy"", ""Film""]","[""Behind the Iron Curtain"", ""Interracial/Cross-Cultural Romance""]"
"[""agent [representative]"", ""America"", ""border [geographic]"", ""CIA (Central-Intelligence-Agency)"", ""Cold-War"", ""cycling"", ""danger"", ""defector"", ""doctor/nurse"", ""driver"", ""East"", ""employment"", ""espionage"", ""Germany"", ""group"", ""help"", ""hidden"", ""hitman"", ""investigation"", ""Judaism"", ""KGB"", ""love"", ""microfilm"", ""mistake"", ""physics"", ""recognition [fame]"", ""recruit [soldier]"", ""Russia"", ""scientist"", ""search"", ""secrets"", ""smuggling"", ""truck"", ""truckdriver"", ""vacation"", ""west"", ""worker""]","[""Spy"", ""Film""]","[""Behind the Iron Curtain""]"
"[""claustrophobia"", ""doctor"", ""escape"", ""Iron-Curtain"", ""paranoia"", ""repression"", ""Stalinism"", ""apartment""]","[""Drama""]","[""Behind the Iron Curtain"", ""Totalitarian States"", ""Political Unrest""]"
"[""behind-enemy-lines"", ""child"", ""escape"", ""love-triangle"", ""mountains"", ""outlaw [Western]"", ""prison"", ""property"", ""refugee"", ""regime"", ""rescue"", ""smuggling"", ""yacht""]","[""Action""]","[""Behind the Iron Curtain"", ""Daring Rescues"", ""Totalitarian States""]"
"[""war"", ""advertising-executive"", ""anarchy"", ""army"", ""attack"", ""battle [war]"", ""behind-enemy-lines"", ""boating"", ""Britain"", ""captain [military]"", ""China"", ""civil-war"", ""colonel"", ""commander"", ""Communism"", ""crew"", ""escape"", ""evacuation"", ""fleet"", ""lieutenant"", ""meeting"", ""negotiation"", ""obstacle"", ""politician"", ""river"", ""scheme"", ""secrets"", ""shoot-out"", ""stranded"", ""violence"", ""wound [injury]""]","[""Drama""]","[""Behind Enemy Lines"", ""Behind the Iron Curtain"", ""Daring Rescues""]"
"[""chase"", ""Cold-War"", ""conspiracy"", ""destruction"", ""double-cross"", ""espionage"", ""KGB"", ""NATO (North Atlantic Treaty Organization)"", ""nuclear-weapon"", ""political-intrigue""]","[""Spy"", ""Film"", ""Thriller""]","[""Terrorism"", ""Behind the Iron Curtain"", ""Fighting the System"", ""Race Against Time""]"
"[""briefcase"", ""car-chase"", ""Cold-War"", ""crime-ring"", ""double-cross"", ""espionage"", ""shoot-out""]","[""Action"", ""Spy"", ""Film""]","[""Dishonor Among Thieves"", ""Traitorous Spies/Double Agents""]"
"[""escape"", ""espionage"", ""sportscaster"", ""KGB"", ""research"", ""athlete""]","[""Drama""]","[""Behind the Iron Curtain"", ""Escape From Prison""]"
"[""con/scam"", ""double-cross"", ""wager"", ""wealth"", ""France"", ""partner"", ""heir""]","[""Comedy""]","[""Cons and Scams"", ""Assumed Identities"", ""Dishonor Among Thieves""]"
"[""mob-boss"", ""nightclub"", ""scheme"", ""small-time"", ""wrestling-Greco-Roman"", ""on-the-run"", ""owner"", ""promoter""]","[""Crime""]","[""Cons and Scams"", ""Dishonor Among Thieves""]"
"[""aristocracy"", ""brother"", ""cellar"", ""kidnapping"", ""political-intrigue""]","[""Drama"", ""Historical"", ""Film""]","[""Conspiracies"", ""Crowned Heads"", ""Switched at Birth""]"
"[""showdown"", ""against-all-odds"", ""bad-guy"", ""brother"", ""good-guy"", ""gunfighter"", ""killing"", ""lawman"", ""outlaw [Western]"", ""romance"", ""sheriff"", ""weapons""]","[""Western""]","[""Feuds"", ""Sheriffs and Outlaws"", ""Taming the West""]"
"[""family-feud"", ""business-rivalry"", ""daughter"", ""mistaken-identity"", ""parent"", ""son"", ""love"", ""childbirth""]","[""Drama"", ""Romance""]","[""Switched at Birth"", ""Miscarriage of Justice""]"
"[""family"", ""frontier"", ""frontiersman"", ""homestead"", ""overcome"", ""woman"", ""adversity"", ""against-all-odds"", ""dedication"", ""hardships"", ""perseverance"", ""setback"", ""struggle""]","[""Historical"", ""Film"", ""Western""]","[""Taming the West""]"
"[""extramarital-affair"", ""forbidden-love"", ""obsession"", ""politician"", ""sexual-attraction"", ""upper-class"", ""Parliament"", ""family-tragedy"", ""passion"", ""fiancee"", ""love-triangle""]","[""Drama""]","[""Self-Destructive Romance"", ""Infidelity"", ""Love Triangles"", ""Wolf in Sheep's Clothing""]"
"[""psychopath"", ""assumed-identity"", ""family"", ""daughter"", ""stepfather"", ""dysfunctional"", ""investigation"", ""investigator"", ""killing"", ""maniac"", ""murder"", ""psychiatry"", ""rebel"", ""scheme"", ""search"", ""serial-killer"", ""widow/widower"", ""wife""]","[""Thriller""]","[""Assumed Identities"", ""Woman In Jeopardy"", ""Serial Killers"", ""Treacherous Spouses"", ""Wolf in Sheep's Clothing""]"
